Completed,Difference,Fate,Hull_Number,Laid_Down,Launched,Name,Namesake,Shipyard,Type
1945-01-22,90.0,,619,1944-10-24,1944-12-19,Ocala Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-01-22,65.0,Scrapped 1962,3086,1944-11-18,1945-01-15,F Scott Fitzgerald,F. Scott Fitzgerald,New England Shipbuilding Corp,Cargo
1945-01-23,136.0,,57,1944-09-09,1944-11-13,Buckingham,,California Shipbuilding Corp,VC2-S-AP5
1945-01-23,90.0,,815,1944-10-25,1944-12-05,Bergen,,Kaiser Co,VC2-S-AP5
1945-01-23,47.0,"Sold private 1947, scrapped 1970",2989,1944-12-07,1945-01-13,Lloyd S Carlson,Lloyd S. Carlson,Todd Houston Shipbuilding Corp,Cargo
1945-01-23,96.0,,578,1944-10-19,1944-12-16,Massillon Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-01-24,48.0,Scrapped 1971,2515,1944-12-07,1945-01-15,John Miller,John Miller,St Johns River Shipbuilding Co,Cargo
1945-01-24,43.0,"Sold private 1947, wrecked and scrapped 1960",2396,1944-12-12,1945-01-12,Harold O Wilson,Harold O. Wilson,J A Jones Construction Co (Brunswick),Cargo
1945-01-24,55.0,Scrapped 1960,2894,1944-11-30,1945-01-06,William Terry Howell,William Terry Howell,Southeastern Shipbuilding Corp,Cargo
1945-01-24,57.0,"To U.S. Navy 1956 as Investigator (YAGR-9), scrapped 1971",2336,1944-11-28,1945-01-09,Charles A Draper,Charles A. Draper,J A Jones Construction Co (Panama City),Cargo
1945-01-25,94.0,,579,1944-10-23,1944-12-21,Hannibal Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-01-25,63.0,,156,1944-11-23,1944-12-27,Loma Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-01-25,88.0,,70,1944-10-29,1944-12-19,Sioux Falls Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-01-27,43.0,"Sold private 1947, scrapped 1967",2990,1944-12-15,1945-01-18,Russell R Jones,Russell R. Jones,Todd Houston Shipbuilding Corp,Cargo
1945-01-27,70.0,"Sold private 1947, scrapped 1967",3087,1944-11-18,1945-01-15,Ezra Meech,Ezra Meech,New England Shipbuilding Corp,Cargo
1945-01-27,128.0,,59,1944-09-21,1944-11-25,Clermont,,California Shipbuilding Corp,VC2-S-AP5
1945-01-28,93.0,,580,1944-10-27,1944-12-27,Beatrice Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-01-29,98.0,,148,1944-10-23,1944-12-02,Lewiston Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-01-29,86.0,,623,1944-11-04,1944-12-22,La Crosse Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-01-29,58.0,,159,1944-12-02,1945-01-09,Green Bay Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-01-29,63.0,"Sold private 1947, scrapped 1970",3093,1944-11-27,1945-01-17,Alfred E Smith,Alfred E. Smith,New England Shipbuilding Corp,Cargo
1945-01-29,90.0,,71,1944-10-31,1944-12-22,Flagstaff Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-01-29,73.0,,581,1944-11-17,1945-01-09,Halaula Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-01-30,91.0,,621,1944-10-31,1944-12-28,Blue Island Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-01-30,61.0,"To U.S. Navy 1954 as Skywatcher (YAGR-3), scrapped 1971",2337,1944-11-30,1945-01-16,Rafael R Rivera,Rafael R. Rivera,J A Jones Construction Co (Panama City),Cargo
1945-01-31,56.0,"Sold private 1947, scrapped 1969",2895,1944-12-06,1945-01-13,William Leory Gable,William Leory Gable,Southeastern Shipbuilding Corp,Cargo
1945-01-31,47.0,Scrapped 1971,2991,1944-12-15,1945-01-19,John Martin Miller,John Martin Miller,Todd Houston Shipbuilding Corp,Cargo
1945-01-31,50.0,"Sold private 1947, wrecked 1965, declared total loss, scrapped",2516,1944-12-12,1945-01-21,Niki,James H. Courts,St Johns River Shipbuilding Co,Cargo
1945-01-31,47.0,Scrapped 1971,2397,1944-12-15,1945-01-19,James Bennett Moore,James Bennett Moore,J A Jones Construction Co (Brunswick),Cargo
1945-01-31,57.0,"Sold private 1951, scrapped 1968",2835,1944-12-05,1945-01-13,William W McKee,William W. McKee,Delta Shipbuilding Co,Cargo
1945-01-31,92.0,,597,1944-10-31,1944-12-31,Virginia City Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-01-31,86.0,,598,1944-11-06,1945-01-04,Brigham Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-01-31,81.0,,624,1944-11-11,1945-01-05,Albion Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-01-31,162.0,,52,1944-08-22,1944-10-19,Botetourt,,California Shipbuilding Corp,VC2-S-AP5
1945-01-31,126.0,,60,1944-09-27,1944-11-29,Clinton,,California Shipbuilding Corp,VC2-S-AP5
1945-01-31,89.0,,72,1944-11-03,1944-12-27,Anadarko Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-01-31,86.0,,73,1944-11-06,1944-12-29,Taos Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-02-01,97.0,,149,1944-10-27,1944-12-04,Minot Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-02-01,73.0,,627,1944-11-20,1945-01-11,Sedalia Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-02-05,98.0,,150,1944-10-30,1944-12-06,Pierre Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-02-05,47.0,"Sold private 1947, scrapped 1966",2992,1944-12-20,1945-01-25,Wallace M Tyler,Wallace M. Tyler,Todd Houston Shipbuilding Corp,Cargo
1945-02-05,87.0,,599,1944-11-10,1945-01-09,Hobbs Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-02-05,63.0,"Stern scrapped 1965, bow converted into derrick barge",3090,1944-12-04,1945-01-27,Leon S Merrill,Leon S. Merrill,New England Shipbuilding Corp,Cargo
1945-02-05,56.0,"To U.S. Navy 1954 as Searcher (YAGR-4), scrapped 1970",2338,1944-12-11,1945-01-23,James W Wheeler,James W. Wheeler,J A Jones Construction Co (Panama City),Cargo
1945-02-06,73.0,,582,1944-11-25,1945-01-16,Logan Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-02-06,63.0,"Sold private 1947, wrecked and scrapped 1967",3094,1944-12-05,1945-01-23,T S Gold,T. S. Gold,New England Shipbuilding Corp,Cargo
1945-02-06,129.0,,61,1944-09-30,1944-12-01,Colbert,,California Shipbuilding Corp,VC2-S-AP5
1945-02-07,86.0,,74,1944-11-13,1945-01-09,Douglas Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-02-07,48.0,Scrapped 1963,2398,1944-12-21,1945-01-25,Halton R Carey,Halton R. Carey,J A Jones Construction Co (Brunswick),Cargo
1945-02-07,84.0,,600,1944-11-15,1945-01-13,El Reno Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-02-07,55.0,"Sold private 1947, scrapped 1969",2896,1944-12-14,1945-01-20,Harry Kirby,Harry Kirby,Southeastern Shipbuilding Corp,Cargo
1945-02-09,48.0,"Sold private 1947, wrecked and scrapped 1961",2993,1944-12-23,1945-01-31,William W Johnson,William W. Johnson,Todd Houston Shipbuilding Corp,Cargo
1945-02-09,94.0,,152,1944-11-07,1944-12-12,Saginaw Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-02-09,59.0,"Sold private 1946, wrecked 1962, TL",2837,1944-12-12,1945-01-23,Hydra,John C. Preston,Delta Shipbuilding Co,Cargo
1945-02-10,58.0,"To U.S. Navy 1954 as Vigil (YAGR-12), scrapped 1971",2339,1944-12-14,1945-01-27,Raymond Van Brogan,Raymond Van Brogan,J A Jones Construction Co (Panama City),Cargo
1945-02-10,82.0,,75,1944-11-20,1945-01-11,Texarkana Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-02-10,49.0,Scrapped 1969,2517,1944-12-23,1945-01-30,Fred Herrling,Fred Herrling,St Johns River Shipbuilding Co,Cargo
1945-02-10,82.0,,601,1944-11-20,1945-01-18,Lahaina Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-02-12,70.0,"Sold private 1947, wrecked and abandoned 1965",3091,1944-12-04,1945-01-27,Francis A Retka,Francis A. Retka,New England Shipbuilding Corp,Cargo
1945-02-12,86.0,,626,1944-11-18,1945-01-15,Zanesville Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-02-13,84.0,,76,1944-11-21,1945-01-13,Bartlesville Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-02-13,45.0,"Sold private 1947, sunk 1968",2994,1944-12-30,1945-02-02,Bernard L Rodman,Bernard L. Rodman,Todd Houston Shipbuilding Corp,Cargo
1945-02-14,78.0,,722,1944-11-28,1945-01-20,Gretna Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-02-14,58.0,"Sold private 1947, scrapped 1970",2897,1944-12-18,1945-01-27,Arlie Clark ,Arlie Clark,Southeastern Shipbuilding Corp,Cargo
1945-02-14,90.0,,625,1944-11-16,1945-01-18,Frontenac Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-02-15,53.0,"To U.S. Navy 1954 as Interrupter (YAGR-15), sold private 1973, converted to fish processing plant in Unalaska AK",2340,1944-12-24,1945-01-31,William J Riddle,William J. Riddle,J A Jones Construction Co (Panama City),Cargo
1945-02-15,51.0,Scrapped 1971,2399,1944-12-26,1945-01-30,Harold Dossett,Harold Dossett,J A Jones Construction Co (Brunswick),Cargo
1945-02-16,81.0,,157,1944-11-27,1944-12-30,Kelso Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-02-16,43.0,"Sold private 1947, scrapped 1970",2995,1945-01-04,1945-02-04,Leonardo L Romero,Leonardo L. Romero,Todd Houston Shipbuilding Corp,Cargo
1945-02-16,77.0,,583,1944-12-01,1945-01-20,Clearwater Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-02-17,65.0,"Sold private 1947, sunk 1962",3098,1944-12-14,1945-02-03,James A Butts,James A. Butts,New England Shipbuilding Corp,Cargo
1945-02-17,77.0,,723,1944-12-02,1945-01-24,Laredo Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-02-17,84.0,,77,1944-11-25,1945-01-14,Cedar Rapids Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-02-17,106.0,,151,1944-11-03,1944-12-09,Bozeman Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-02-19,108.0,,622,1944-11-03,1945-01-20,Frostburg Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-02-19,81.0,,158,1944-11-30,1945-01-05,St. Cloud Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-02-20,83.0,,78,1944-11-29,1945-01-19,Chanute Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-02-21,75.0,,584,1944-12-08,1945-01-26,Anniston Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-02-21,88.0,,628,1944-11-25,1945-01-26,Pontotoc Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-02-21,76.0,,724,1944-12-07,1945-01-27,Harvard Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-02-21,47.0,"To U.S. Navy 1954 as Interpreter (AGR-14), scrapped 1974",2341,1945-01-05,1945-02-08,Dudley H Thomas,Dudley H. Thomas,J A Jones Construction Co (Panama City),Cargo
1945-02-21,46.0,"Sold private 1947, scrapped 1967",2996,1945-01-06,1945-02-09,Willard R Johnson,Willard R. Johnson,Todd Houston Shipbuilding Corp,Cargo
1945-02-22,80.0,,160,1944-12-04,1945-01-12,Rock Springs Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-02-22,58.0,"Sold private 1951, scrapped 1968",2838,1944-12-26,1945-02-05,Darel M Ritter,Darel M. Ritter,Delta Shipbuilding Co,Cargo
1945-02-22,54.0,Scrapped 1960,2400,1944-12-30,1945-02-10,Patrick S Mahony,Patrick S. Mahoney,J A Jones Construction Co (Brunswick),Cargo
1945-02-23,84.0,,79,1944-12-01,1945-01-24,Monroe Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-02-24,73.0,,725,1944-12-13,1945-01-31,Yale Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-02-24,63.0,"Sold private 1947, scrapped 1968",2898,1944-12-23,1945-01-31,Thomas W Murray,Thomas W. Murray,Southeastern Shipbuilding Corp,Cargo
1945-02-24,47.0,"Sold private 1947, scrapped 1969",2518,1945-01-08,1945-02-12,Spetsae,Thomas L. Haley,St Johns River Shipbuilding Co,Cargo
1945-02-24,44.0,Damaged 1945 and scrapped 1947,2997,1945-01-11,1945-02-13,Samuel L Jeffery,Samuel L. Jeffery,Todd Houston Shipbuilding Corp,Cargo
1945-02-24,74.0,,163,1944-12-12,1945-01-23,Ames Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-02-26,88.0,,629,1944-11-30,1945-01-30,Clarksville Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-02-26,68.0,"Sold private 1947, scrapped 1967",3101,1944-12-20,1945-02-10,Clarence F Peck,Clarence F. Peck,New England Shipbuilding Corp,Cargo
1945-02-26,143.0,,62,1944-10-06,1944-12-02,Collingsworth,,California Shipbuilding Corp,VC2-S-AP5
1945-02-26,86.0,,80,1944-12-02,1945-01-27,Clarksdale Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-02-27,48.0,Scrapped 1972,2342,1945-01-10,1945-02-14,John L McCarley,John L. McCarley,J A Jones Construction Co (Panama City),Cargo
1945-02-28,74.0,,585,1944-12-16,1945-01-31,Moline Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-02-28,50.0,"Sold private 1947, scrapped 1969",2401,1945-01-09,1945-02-17,Richard A Van Pelt,Richard A. Van Pelt,J A Jones Construction Co (Brunswick),Cargo
1945-02-28,72.0,Scrapped 1971,3095,1944-12-18,1945-02-21,William Bevan,William Bevan,New England Shipbuilding Corp,Cargo
1945-02-28,84.0,,81,1944-12-06,1945-01-31,Alhambra Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-02-28,78.0,,632,1944-12-12,1945-02-05,Morgantown Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-02-28,84.0,,161,1944-12-06,1945-01-16,La Grande Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-02-28,46.0,"Sold private 1947, scrapped 1970",2998,1945-01-13,1945-02-17,Clifford E Ashby,Clifford E. Ashby,Todd Houston Shipbuilding Corp,Cargo
1945-02-28,60.0,"Sold private 1951, scrapped 1968",2841,1944-12-30,1945-02-07,Roy K Johnson,Roy K. Johnson,Delta Shipbuilding Co,Cargo
1945-02-28,85.0,,631,1944-12-05,1945-02-01,Lake Charles Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-03-01,76.0,,83,1944-12-15,1945-02-09,Dickinson Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-03-01,75.0,,726,1944-12-16,1945-02-03,Middlebury Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-03-03,78.0,,164,1944-12-15,1945-01-26,Adrian Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-03-03,71.0,,727,1944-12-22,1945-02-07,DePauw Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-03-05,83.0,,82,1944-12-12,1945-02-02,Rutgers Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-03-05,69.0,"Sold private 1947, wrecked and abandoned 1962",3104,1944-12-26,1945-02-20,Donald H Holland,Donald H. Holland,New England Shipbuilding Corp,Cargo
1945-03-07,47.0,"Sold private 1947, scrapped 1973",2999,1945-01-19,1945-02-23,Lektor Garbo,Alfred L. Baxley,Todd Houston Shipbuilding Corp,Cargo
1945-03-07,49.0,"To U.S. Navy 1954 as Watchman (YAGR-16), scrapped 1974",2343,1945-01-17,1945-02-20,Vernon S Hood,Vernon S. Hood,J A Jones Construction Co (Panama City),Cargo
1945-03-07,79.0,"Sold private 1947, scrapped 1967",3096,1944-12-18,1945-02-21,Charles N Cole,Charles N. Cole,New England Shipbuilding Corp,Cargo
1945-03-07,75.0,,586,1944-12-22,1945-02-10,Medina Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-03-07,70.0,,728,1944-12-27,1945-02-10,Bucknell Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-03-08,79.0,,165,1944-12-19,1945-01-30,Jefferson City Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-03-09,48.0,"Sold private 1947, wrecked and scrapped 1961",3000,1945-01-20,1945-02-24,Francis E Siltz,Francis E. Siltz,Todd Houston Shipbuilding Corp,Cargo
1945-03-10,69.0,,729,1944-12-31,1945-02-14,Grinnell Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-03-10,78.0,,166,1944-12-22,1945-02-02,Terre Haute Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-03-10,82.0,,633,1944-12-18,1945-02-10,Pittston Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-03-12,178.0,"Sold private 1947, scrapped 1968",2816,1944-09-15,1944-12-18,Jagger Seam ,Jagger Seam,Delta Shipbuilding Co,Collier
1945-03-12,83.0,,84,1944-12-19,1945-02-13,Colby Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-03-13,84.0,,634,1944-12-19,1945-02-13,Hagerstown Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-03-13,57.0,Wrecked and lost in the Philippines 1945,2402,1945-01-15,1945-02-25,Charles C Randleman,Charles C. Randleman,J A Jones Construction Co (Brunswick),Cargo
1945-03-13,57.0,"Sold private 1951, scrapped 1968",2843,1945-01-15,1945-02-22,Donald S Wright,Donald S. Wright,Delta Shipbuilding Co,Cargo
1945-03-13,85.0,"Sold private 1947, sunk 1964",3097,1944-12-18,1945-02-21,George A Lawson,George A. Lawson,New England Shipbuilding Corp,Cargo
1945-03-14,49.0,"To U.S. Navy 1954 as Scanner (YAGR-5), sold private1974",2344,1945-01-24,1945-02-27,Edwin D Howard,Edwin D. Howard,J A Jones Construction Co (Panama City),Cargo
1945-03-14,74.0,,168,1944-12-30,1945-02-09,Paducah Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-03-14,68.0,,730,1945-01-05,1945-02-17,Mount Holyoke Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-03-14,73.0,,587,1944-12-31,1945-02-19,Princeton Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-03-15,64.0,"Sold private 1947, sunk 1966",3105,1945-01-10,1945-03-03,Wilfred R Bellevue,Wilfred R. Bellevue,New England Shipbuilding Corp,Cargo
1945-03-15,83.0,,767,1944-12-22,1945-02-16,Rensselaer Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-03-16,102.0,,630,1944-12-04,1945-02-15,Bardstown Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-03-17,67.0,,731,1945-01-09,1945-02-21,Duke Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-03-17,53.0,"Sold private 1947, scrapped 1970",2403,1945-01-23,1945-02-28,Roy James Cole,Roy James Cole,J A Jones Construction Co (Brunswick),Cargo
1945-03-17,71.0,,169,1945-01-05,1945-02-15,Dartmouth Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-03-17,51.0,"Sold private 1947, scrapped 1967",3001,1945-01-25,1945-03-07,Charles H Lanham,Charles H. Lanham,Todd Houston Shipbuilding Corp,Cargo
1945-03-18,104.0,"Sold private 1951, scrapped 1967",2839,1944-12-04,1945-01-11,Frank E Spencer,Frank E. Spencer,Delta Shipbuilding Co,Cargo
1945-03-19,81.0,,768,1944-12-28,1945-02-22,Maryville Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-03-20,88.0,,635,1944-12-22,1945-02-19,Milford Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-03-20,70.0,,588,1945-01-09,1945-02-24,Bowdoin Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-03-21,62.0,"Sold private 1947, scrapped 1968",3099,1945-01-18,1945-03-13,Richard D Lyons,Richard D. Lyons,New England Shipbuilding Corp,Cargo
1945-03-21,71.0,,170,1945-01-09,1945-02-20,Colgate Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-03-21,67.0,,732,1945-01-13,1945-02-24,Fordham Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-03-21,51.0,Scrapped 1965,2345,1945-01-29,1945-03-07,Wesley W Barrett,Wesley W. Barrett,J A Jones Construction Co (Panama City),Cargo
1945-03-22,83.0,,769,1944-12-29,1945-02-24,Norwich Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-03-23,104.0,,162,1944-12-09,1945-01-19,Appleton Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-03-23,85.0,,636,1944-12-28,1945-02-23,Coaldale Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-03-24,65.0,"Sold private 1947, wrecked and scrapped 1960",3106,1945-01-18,1945-03-12,Fred E Joyce,Fred E. Joyce,New England Shipbuilding Corp,Cargo
1945-03-24,65.0,,733,1945-01-18,1945-02-28,Citadel Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-03-24,52.0,Scrapped 1967,3002,1945-01-31,1945-03-12,Parsa,Mark A. Davis,Todd Houston Shipbuilding Corp,Cargo
1945-03-26,76.0,,770,1945-01-09,1945-02-28,Amherst Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-03-26,80.0,,637,1945-01-05,1945-02-24,Mahanoy City Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-03-27,75.0,,638,1945-01-11,1945-03-03,Kingston Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-03-27,74.0,,171,1945-01-12,1945-02-23,Brown Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-03-28,76.0,,771,1945-01-11,1945-03-02,Tufts Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-03-28,69.0,"Sold private 1947, scrapped 1968",3100,1945-01-18,1945-03-13,Carl Oftedal,George N. Drake,New England Shipbuilding Corp,Cargo
1945-03-28,54.0,"Sold private 1947, scrapped 1969",3003,1945-02-02,1945-03-15,Edward N Hinton,Edward N. Hinton,Todd Houston Shipbuilding Corp,Cargo
1945-03-28,67.0,,734,1945-01-20,1945-03-03,Berea Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-03-29,72.0,,589,1945-01-16,1945-02-28,Wesleyan Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-03-29,57.0,"To U.S. Navy 1954 as Protector (YAGR-11), reefed 1984",2346,1945-01-31,1945-03-15,Warren P Marks,Warren P. Marks,J A Jones Construction Co (Panama City),Cargo
1945-03-30,71.0,,640,1945-01-18,1945-03-06,Winchester Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-03-30,60.0,"Sold private 1947, scrapped 1967",2404,1945-01-29,1945-03-15,Patrick B Whalen,Patrick B. Whalen,J A Jones Construction Co (Brunswick),Cargo
1945-03-30,73.0,,172,1945-01-16,1945-02-27,Davidson Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-03-30,76.0,,772,1945-01-13,1945-03-06,Baylor Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-03-31,75.0,,639,1945-01-15,1945-03-08,New Bern Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-03-31,65.0,,735,1945-01-25,1945-03-07,St. Lawrence Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-03-31,131.0,"Sold private 1947, scrapped 1968",2836,1944-11-20,1945-01-24,La Salle Seam ,LaSalle Seam,Delta Shipbuilding Co,Collier
1945-03-31,66.0,"Sold private 1947, scrapped 1968",3110,1945-01-24,1945-03-17,Elias Reisberg,Elias Reisberg,New England Shipbuilding Corp,Cargo
1945-03-31,69.0,,590,1945-01-21,1945-03-07,Xavier Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-04-02,73.0,,173,1945-01-19,1945-03-02,Northwestern Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-04-03,77.0,,773,1945-01-16,1945-03-09,Santa Clara Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-04-04,98.0,,167,1944-12-27,1945-02-06,Twin Falls Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-04-04,67.0,,736,1945-01-27,1945-03-10,Central Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-04-06,56.0,"To U.S. Navy 1954 as Locator (YAGR-6), scrapped 1974",2347,1945-02-09,1945-03-23,Frank O Peterson,Frank O. Peterson,J A Jones Construction Co (Panama City),Cargo
1945-04-06,70.0,,175,1945-01-26,1945-03-09,Notre Dame Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-04-07,66.0,,737,1945-01-31,1945-03-14,Swarthmore Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-04-07,68.0,"Sold private 1947, scrapped 1971",3102,1945-01-29,1945-03-28,Belgian Amity,Lawrence T. Sullivan,New England Shipbuilding Corp,Cargo
1945-04-07,78.0,,774,1945-01-19,1945-03-14,Beaver Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-04-07,77.0,,641,1945-01-20,1945-03-12,Stamford Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-04-10,74.0,,642,1945-01-26,1945-03-16,Attleboro Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-04-11,67.0,,738,1945-02-03,1945-03-17,Carleton Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-04-11,71.0,,176,1945-01-30,1945-03-13,Westminster Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-04-11,75.0,,591,1945-01-26,1945-03-14,Mercer Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-04-12,78.0,,775,1945-01-24,1945-03-17,Lehigh Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-04-13,70.0,,177,1945-02-02,1945-03-16,Wellesley Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-04-13,57.0,Scrapped 1975,2348,1945-02-15,1945-03-30,Barney Kirschbaum,Barney Kirschbaum,J A Jones Construction Co (Panama City),Cargo
1945-04-13,73.0,,643,1945-01-30,1945-03-19,Laconia Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-04-14,75.0,"Mined off Labuan 1945, declared total loss but sold, scrapped 1948",3103,1945-01-29,1945-03-28,Joseph Carrigan,Joseph Carrigan,New England Shipbuilding Corp,Cargo
1945-04-14,77.0,,776,1945-01-27,1945-03-22,Wheaton Victory,,California Shipbuilding Corp,VC2-S-AP2
1945-04-14,65.0,,739,1945-02-08,1945-03-21,Loyola Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-04-14,68.0,"Sold private 1947, scrapped 1968",3111,1945-02-05,1945-03-30,William H Lane,William H. Lane,New England Shipbuilding Corp,Cargo
1945-04-17,126.0,"Sold private 1947, scrapped 1964",2842,1944-12-12,1945-02-21,Linton Seam ,Linton Seam,Delta Shipbuilding Co,Collier
1945-04-17,70.0,,178,1945-02-06,1945-03-21,Creighton Victory,,Oregon Shipbuilding Corp,VC2-S-AP3
1945-04-17,75.0,,644,1945-02-01,1945-03-23,Central Falls Victory,,Bethlehem-Fairfield Shipyards,VC2-S-AP2
1945-04-18,66.0,,740,1945-02-11,1945-03-24,Purdue Victory,,Permanente Metals Co Yard,VC2-S-AP2
1945-04-18,77.0,,777,1945-01-31,1945-03-26,Rider Victory,,California Shipbuilding Corp,VC2-S-AP2
