Name,Type,Hull_Number,Shipyard,Laid_Down,Launched,Completed,Difference,Namesake,Fate
Charles John Seghers,Cargo,2765,Permanente Metals Co Yard,1944-02-17,1944-03-07,1944-03-15,27.0,Charles John Seghers,"Sold private 1947, scrapped 1968"
Ida M Tarbell,Cargo,2566,California Shipbuilding Corp,1944-01-31,1944-02-15,1944-03-15,44.0,Ida M. Tarbell,"Sold private 1947, scrapped 1968"
Stanton H King,Cargo,3004,New England Shipbuilding Corp,1944-01-26,1944-03-04,1944-03-16,50.0,Stanton H. King,Scrapped 1964
Samcolne,Cargo,2604,Bethlehem-Fairfield Shipyards,1944-02-05,1944-03-04,1944-03-16,40.0,Samcolne,"Sold private 1947, scrapped 1967"
James L Ackerson,Cargo,2468,St Johns River Shipbuilding Co,1944-01-01,1944-02-29,1944-03-16,75.0,James L. Ackerson,"Sold private 1947, scrapped 1967"
William J Gray,Cargo,2766,Permanente Metals Co Yard,1944-02-18,1944-03-09,1944-03-16,27.0,William J. Gray,Scrapped 1969
George Steers,Cargo,2915,Todd Houston Shipbuilding Corp,1944-01-22,1944-03-04,1944-03-17,55.0,George Steers,Scrapped 1961
Robert Ellis Lewis,Cargo,2603,Bethlehem-Fairfield Shipyards,1944-02-02,1944-03-07,1944-03-17,44.0,Robert Ellis Lewis,Scrapped 1970
James B Aswell,Cargo,2450,Delta Shipbuilding Co,1943-12-18,1944-02-10,1944-03-18,91.0,James B. Aswell,"Sold private 1947, scrapped 1971"
Samsperrin,Cargo,3005,New England Shipbuilding Corp,1944-01-14,1944-03-07,1944-03-18,64.0,Samsperrin,Scrapped 1961
Isaac Shelby,Cargo,1518,J A Jones Construction Co (Brunswick),1944-01-22,1944-03-06,1944-03-18,56.0,Isaac Shelby,"Wrecked near Rome 1945, declared a total loss, scrapped 1948"
Amerigo Vespucci,Cargo,2767,Permanente Metals Co Yard,1944-02-20,1944-03-10,1944-03-18,27.0,Amerigo Vespucci,Scrapped 1962
James H Breasted,Cargo,2265,Permanente Metals Co Yard,1944-01-19,1944-02-10,1944-03-19,60.0,James H. Breasted,Bombed and lost at Mindoro 1944
George Middlemas,Cargo,2768,Permanente Metals Co Yard,1944-02-22,1944-03-11,1944-03-20,27.0,George Middlemas,Scrapped 1960
Syrma,Cargo,2455,Delta Shipbuilding Co,1944-01-10,1944-02-19,1944-03-20,70.0,Andres Almonaster,"To U.S. Navy as Syrma (AK-134), sold private 1948, scrapped 1968"
Samshee,Cargo,2606,Bethlehem-Fairfield Shipyards,1944-02-08,1944-03-09,1944-03-21,42.0,Samshee,Scrapped 1964
John E Sweet,Cargo,2438,Southeastern Shipbuilding Corp,1944-01-17,1944-03-03,1944-03-21,64.0,John E. Sweet,Scrapped 1965
John Gibbon,Cargo,2916,Todd Houston Shipbuilding Corp,1944-01-29,1944-03-10,1944-03-22,53.0,John Gibbon,Scrapped 1968
Robert D Carey,Cargo,2769,Permanente Metals Co Yard,1944-02-24,1944-03-14,1944-03-22,27.0,Robert D. Carey,"Sold private 1947, scrapped 1969"
George A Marr,Cargo,2454,Delta Shipbuilding Co,1944-01-10,1944-02-27,1944-03-22,72.0,George A. Marr,Sank 1965
Samlea,Cargo,2605,Bethlehem-Fairfield Shipyards,1944-02-07,1944-03-10,1944-03-22,44.0,Samlea,"Sold private 1947, scrapped 1968"
Samdaring,Cargo,3007,New England Shipbuilding Corp,1944-01-24,1944-03-11,1944-03-23,59.0,Samdaring,"Sold private 1947, scrapped 1968"
H Weir Cook,Cargo,2770,Permanente Metals Co Yard,1944-02-25,1944-03-17,1944-03-23,27.0,H. Weir Cook,Scrapped 1968
Frederick C Hicks,Cargo,2567,California Shipbuilding Corp,1944-02-09,1944-03-04,1944-03-23,43.0,Frederick C. Hicks,"Sold private 1947, wrecked and lost 1967"
Walter Wyman,Cargo,2266,Permanente Metals Co Yard,1944-01-21,1944-02-14,1944-03-24,63.0,Walter Wyman,"Sold private 1947, scrapped 1972"
Arthur Sewall,Cargo,3006,New England Shipbuilding Corp,1944-01-14,1944-03-07,1944-03-24,70.0,Arthur Sewall,"Torpedoed in the English Channel 1944, repaired and scuttled 1946"
Louis Weule,Cargo,2771,Permanente Metals Co Yard,1944-02-26,1944-03-20,1944-03-25,28.0,Louis Weule,Scrapped 1967
John W Griffiths,Cargo,1548,J A Jones Construction Co (Panama City),1943-12-13,1944-02-09,1944-03-25,103.0,John W. Griffiths,"Sold private 1947, scrapped 1965"
Samspelga,Cargo,2608,Bethlehem-Fairfield Shipyards,1944-02-15,1944-03-16,1944-03-25,39.0,Samspelga,"Sold private 1947, scrapped"
Thomas Say,Cargo,2917,Todd Houston Shipbuilding Corp,1944-02-04,1944-03-14,1944-03-25,50.0,Thomas Say,"Sold private 1947, scrapped 1967"
Edward W Bok ,Cargo,2469,St Johns River Shipbuilding Co,1944-01-14,1944-03-12,1944-03-27,73.0,Edward W. Bok,"Sold private 1947, scrapped 1970"
Samjack,Cargo,2607,Bethlehem-Fairfield Shipyards,1944-02-11,1944-03-14,1944-03-27,45.0,Samjack,"Sold private 1947, scrapped 1967"
Jose M Morelos,Cargo,2772,Permanente Metals Co Yard,1944-02-28,1944-03-21,1944-03-28,29.0,José M. Morelos,Scrapped 1972
Samfairy,Cargo,2350,J A Jones Construction Co (Brunswick),1944-01-31,1944-03-16,1944-03-28,57.0,Samfairy,"Sold private 1947, scrapped 1969"
Samdonard,Cargo,2609,Bethlehem-Fairfield Shipyards,1944-02-18,1944-03-18,1944-03-29,40.0,Samdonard,"Sold private 1947, scrapped 1968"
C K McClatchy,Cargo,2242,California Shipbuilding Corp,1944-02-10,1944-03-07,1944-03-29,48.0,C. K. McClatchy,"Sold private 1947, scrapped 1968"
Joe Fellows,Cargo,2241,California Shipbuilding Corp,1944-02-12,1944-03-10,1944-03-29,46.0,Joe Fellows,"Sold private 1947, wrecked and lost 1966"
Clark Howell,Cargo,2439,Southeastern Shipbuilding Corp,1944-01-21,1944-03-14,1944-03-29,68.0,Clark Howell,"Sold private 1947, scrapped 1967"
John Roach,Cargo,2267,Permanente Metals Co Yard,1944-02-07,1944-03-01,1944-03-30,52.0,John Roach,"Sold private 1947, scrapped 1967"
Isaac Van Zandt,Cargo,2431,Todd Houston Shipbuilding Corp,1944-02-10,1944-03-18,1944-03-30,49.0,Isaac Van Zandt,Scuttled with obsolete explosives 1966
Benjamin Waterhouse,Cargo,2773,Permanente Metals Co Yard,1944-02-29,1944-03-23,1944-03-30,30.0,Benjamin Waterhouse,"Reefed off Horn Island, Mississippi 1975"
Augustus Saint-Gaudens,Cargo,1549,J A Jones Construction Co (Panama City),1943-12-20,1944-02-17,1944-03-30,101.0,Augustus Saint-Gaudens,"Sold private 1947, scrapped 1967"
Lillian Nordica,Cargo,3010,New England Shipbuilding Corp,1944-02-01,1944-03-17,1944-03-31,59.0,Lillian Nordica,Scrapped 1965
Earl Layman,Cargo,2440,Southeastern Shipbuilding Corp,1944-01-31,1944-03-17,1944-03-31,60.0,Earl Layman,"Sold private 1947, scrapped 1967"
Park Benjamin,Cargo,3008,New England Shipbuilding Corp,1944-01-29,1944-03-19,1944-03-31,62.0,Park Benjamin,Scrapped 1959
Samgallion,Cargo,2610,Bethlehem-Fairfield Shipyards,1944-02-19,1944-03-22,1944-03-31,41.0,Samgallion,"Sold private 1947, wrecked and sunk 1950"
William Schirmer,Cargo,2774,Permanente Metals Co Yard,1944-03-02,1944-03-25,1944-03-31,29.0,William Schirmer,Scrapped 1969
J S Hutchinson,Cargo,2775,Permanente Metals Co Yard,1944-03-04,1944-03-27,1944-03-31,27.0,J. S. Hutchinson,Scrapped 1964
John M Brooke,Cargo,1550,J A Jones Construction Co (Panama City),1943-12-30,1944-02-24,1944-03-31,92.0,John M. Brooke,"Sold private 1947, scrapped 1968"
Samderry,Cargo,3009,New England Shipbuilding Corp,1944-01-29,1944-03-19,1944-03-31,62.0,Samderry,"Sold private 1947, scrapped 1967"
Rufus E Foster,Cargo,2451,Delta Shipbuilding Co,1943-12-24,1944-02-17,1944-03-31,98.0,Rufus E. Foster,"Sold private 1947, wrecked and scrapped 1960"
Melville Jacoby,Cargo,3119,Walsh-Kaiser Co,1943-10-27,1944-01-18,1944-03-31,156.0,Melville Jacoby,"Sold private 1947, declared total loss 1961, scrapped"
Melucta,Cargo,2470,St Johns River Shipbuilding Co,1944-01-21,1944-03-20,1944-03-31,70.0,Melucta,"To U.S. Navy as AK-131, scrapped 1970"
Samfoyle,Cargo,2351,J A Jones Construction Co (Brunswick),1944-02-08,1944-03-23,1944-03-31,52.0,Samfoyle,"Sold private 1947, scrapped 1968"
Edward B Haines,Cargo,2612,Bethlehem-Fairfield Shipyards,1944-02-22,1944-03-22,1944-04-04,42.0,Edward B. Haines,"Sold private 1947, scrapped 1971"
Henry Adams,Cargo,2268,Permanente Metals Co Yard,1944-02-10,1944-03-10,1944-04-04,54.0,Henry Adams,"Sold private 1947, scrapped 1963"
Edward S Hough,Cargo,2776,Permanente Metals Co Yard,1944-03-06,1944-03-28,1944-04-05,30.0,Edward S. Hough,Scrapped 1970
Major General Robert Olds,Cargo,2918,Todd Houston Shipbuilding Corp,1944-02-14,1944-03-22,1944-04-05,51.0,Daniel E. Garrett,"To U.S. Army 1944 as Major General Robert Olds, scrapped 1960"
Samhope,Cargo,2613,Bethlehem-Fairfield Shipyards,1944-02-25,1944-03-25,1944-04-05,40.0,Samhope,"Sold private 1947, scrapped 1974"
E A Burnett,Cargo,2777,Permanente Metals Co Yard,1944-03-08,1944-03-30,1944-04-06,29.0,E. A. Burnett,Scrapped 1967
Samneagh,Cargo,2611,Bethlehem-Fairfield Shipyards,1944-02-24,1944-03-27,1944-04-06,42.0,Samneagh,"Sold private 1947, scrapped 1968"
Wallace R Farrington,Cargo,2778,Permanente Metals Co Yard,1944-03-09,1944-03-31,1944-04-07,29.0,Wallace R. Farrington,Scrapped 1969
Christopher S Flanagan,Cargo,2919,Todd Houston Shipbuilding Corp,1944-02-18,1944-03-27,1944-04-07,49.0,Christopher S. Flanagan,Scrapped 1963
Augustin Daly,Cargo,2264,Permanente Metals Co Yard,1944-01-17,1944-02-17,1944-04-08,82.0,Augustin Daly,Scrapped 1967
Belgian Tenacity,Cargo,3011,New England Shipbuilding Corp,1944-02-10,1944-03-28,1944-04-08,58.0,quality of the Belgian people,"Sold private 1947, scrapped 1968"
Propus,Cargo,2471,St Johns River Shipbuilding Co,1944-01-31,1944-03-29,1944-04-10,70.0,Propus,"To U.S. Navy as AK-132, sold private 1947, burnt 1951, declared total loss but repaired, scrapped 1970"
John H Murphy,Cargo,2614,Bethlehem-Fairfield Shipyards,1944-02-26,1944-03-29,1944-04-10,44.0,"John H. Murphy, Sr.","Sold private 1947, scrapped 1969"
Major General Herbert A Dargue,Cargo,1551,J A Jones Construction Co (Panama City),1944-01-07,1944-03-04,1944-04-10,94.0,Rebecca Lukens,"To U.S. Army as aircraft repair unit Major General Herbert A. Dargue 1944, scrapped 1970"
Cecil N Bean,Cargo,2457,Delta Shipbuilding Co,1944-01-24,1944-03-06,1944-04-10,77.0,Cecil N. Bean,"Sold private 1949, scrapped 1967"
Louis Sloss,Cargo,2779,Permanente Metals Co Yard,1944-03-10,1944-04-03,1944-04-10,31.0,Louis Sloss,Scrapped 1971
Elijah Kellogg,Cargo,3012,New England Shipbuilding Corp,1944-02-17,1944-04-05,1944-04-11,54.0,Elijah Kellogg,"Sold private 1947, sunk 1952"
Toussaint L'Ouverture,Cargo,2780,Permanente Metals Co Yard,1944-03-12,1944-04-04,1944-04-12,31.0,Toussaint L'Ouverture,Scrapped 1959
Seginus,Cargo,2453,Delta Shipbuilding Co,1944-01-10,1944-03-04,1944-04-12,93.0,Harry Toulmin,"To U.S. Navy as Seginus (AK-133), sold private 1947, scrapped 1967"
John Ireland,Cargo,2920,Todd Houston Shipbuilding Corp,1944-02-23,1944-03-30,1944-04-12,49.0,John Ireland,Scrapped 1967
Samfinn,Cargo,2352,J A Jones Construction Co (Brunswick),1944-02-14,1944-03-31,1944-04-13,59.0,Samfinn,Scrapped 1962
Louis Sullivan,Cargo,2781,Permanente Metals Co Yard,1944-03-14,1944-04-05,1944-04-13,30.0,Louis Sullivan,Scrapped 1970
Lucien Labaudt,Cargo,2782,Permanente Metals Co Yard,1944-03-17,1944-04-07,1944-04-14,28.0,Lucien Labaudt,"Sold private 1947, scrapped 1969"
Samsturdy,Cargo,2615,Bethlehem-Fairfield Shipyards,1944-02-29,1944-03-31,1944-04-14,45.0,Samsturdy,"Sold private 1947, scrapped 1966"
Samdauntless,Cargo,2617,Bethlehem-Fairfield Shipyards,1944-03-06,1944-04-03,1944-04-15,40.0,Samdauntless,"Sold private 1947, scrapped 1967"
Charles Dauray,Cargo,3013,New England Shipbuilding Corp,1944-02-17,1944-04-05,1944-04-15,58.0,Charles Dauray,"Sold private 1947, scrapped 1969"
Henry M Robert,Cargo,2921,Todd Houston Shipbuilding Corp,1944-02-24,1944-04-04,1944-04-15,51.0,Henry M. Robert,"Sold private 1947, scrapped 1968"
Samadre,Cargo,3014,New England Shipbuilding Corp,1944-02-18,1944-04-04,1944-04-15,57.0,Samadre,"Sold private 1947, scrapped 1969"
Alanson B Houghton,Cargo,2293,J A Jones Construction Co (Panama City),1944-01-19,1944-03-14,1944-04-15,87.0,Alanson B. Houghton,Scrapped 1972
Sukhona,Cargo,2269,Permanente Metals Co Yard,1944-02-14,1944-03-17,1944-04-15,61.0,George Coggeshall,"To Russia 1944 as Sukhona, scrapped 1971"
John A Treutlen,Cargo,2441,Southeastern Shipbuilding Corp,1944-02-05,1944-04-10,1944-04-17,72.0,John A. Treutlen,"Torpedoed in the English Channel 1944, beached, declared total loss, scrapped"
James A Drain,Cargo,2783,Permanente Metals Co Yard,1944-03-20,1944-04-08,1944-04-17,28.0,James A. Drain,"Sold private 1947, scrapped 1972"
Stalingrad,Cargo,2784,Permanente Metals Co Yard,1944-03-22,1944-04-11,1944-04-18,27.0,Thomas F. Flaherty,"To Russia 1944 as Stalingrad, later Volgograd, scrapped 1978"
Lawrence J Brengle,Cargo,2616,Bethlehem-Fairfield Shipyards,1944-03-03,1944-04-05,1944-04-18,46.0,Lawrence J. Brengle,"Sold private 1947, scrapped 1968"
Sul Ross,Cargo,2922,Todd Houston Shipbuilding Corp,1944-03-03,1944-04-08,1944-04-20,48.0,Sul Ross,"Sold private 1947, scrapped 1968"
Edward A Filene,Cargo,2472,St Johns River Shipbuilding Co,1944-02-09,1944-04-06,1944-04-20,71.0,Edward A. Filene,"Scuttled as breakwater in Cook Inlet AK, 1966"
Samvigna,Cargo,2353,J A Jones Construction Co (Brunswick),1944-02-22,1944-04-08,1944-04-20,58.0,Samvigna,Scrapped 1960
Kamenets-Podolsk,Cargo,2785,Permanente Metals Co Yard,1944-03-23,1944-04-13,1944-04-20,28.0,Robert S. Abbott,"To Russia 1944 as Kamenets-Podolsk, scrapped 1979"
Deborah Gannett,Cargo,2620,Bethlehem-Fairfield Shipyards,1944-03-10,1944-04-10,1944-04-21,42.0,Deborah Sampson Gannett,Scrapped 1962
Basilan,Cargo,2460,Delta Shipbuilding Co,1944-02-05,1944-03-21,1944-04-21,76.0,Jacques Villeré,"To U.S. Navy as Basilan (ARG-12), to NDRF 1946, scrapped 1972"
Charlotte Cushman,Cargo,2787,Permanente Metals Co Yard,1944-03-27,1944-04-15,1944-04-22,26.0,Charlotte Cushman,Scrapped 1961
Frank Gilbreth,Cargo,3120,Walsh-Kaiser Co,1943-11-04,1944-02-03,1944-04-22,170.0,Frank Gilbreth,"Sold private 1947, scrapped 1972"
Benjamin Carpenter,Cargo,2786,Permanente Metals Co Yard,1944-03-25,1944-04-14,1944-04-22,28.0,Benjamin Carpenter,Scrapped 1960
Sambanka,Cargo,3015,New England Shipbuilding Corp,1944-02-28,1944-04-11,1944-04-22,54.0,Sambanka,Scrapped 1967
Sverre Helmersen,Cargo,2618,Bethlehem-Fairfield Shipyards,1944-03-07,1944-04-08,1944-04-22,46.0,William Hodson,"Mined in the English Channel 1944, scrapped 1948"
Samuel G French,Cargo,2294,J A Jones Construction Co (Panama City),1944-01-31,1944-03-21,1944-04-22,82.0,Samuel G. French,"Sold private 1947, scrapped 1971"
Samtrusty,Cargo,2619,Bethlehem-Fairfield Shipyards,1944-03-09,1944-04-10,1944-04-23,45.0,Samtrusty,"Sold private 1947, scrapped 1972"
Burias,Cargo,2458,Delta Shipbuilding Co,1944-02-11,1944-03-27,1944-04-24,73.0,Mollie Moore Davis,"To U.S. Navy as Burias (ARG-13), to NDRF 1946, scrapped 1970"
Ben A Ruffin,Cargo,2442,Southeastern Shipbuilding Corp,1944-02-12,1944-04-11,1944-04-24,72.0,Ben A. Ruffin,"Sold private 1947, scrapped 1972"
Henry Meiggs,Cargo,2788,Permanente Metals Co Yard,1944-03-28,1944-04-17,1944-04-25,28.0,Henry Meiggs,Scrapped 1971
John lsaacson,Cargo,2270,Permanente Metals Co Yard,1944-02-17,1944-03-24,1944-04-25,68.0,John Isaacson,Scrapped 1970
Raymond B Stevens,Cargo,3016,New England Shipbuilding Corp,1944-03-08,1944-04-19,1944-04-25,48.0,Raymond B. Stevens,Scrapped 1961
Mariscal Sucre,Cargo,2789,Permanente Metals Co Yard,1944-03-30,1944-04-19,1944-04-26,27.0,Mariscal Sucre,Scrapped 1968
Samselbu,Cargo,2354,J A Jones Construction Co (Brunswick),1944-03-01,1944-04-16,1944-04-26,56.0,Samselbu,Mined and lost off Belgium 1945
John M Parker,Cargo,2456,Delta Shipbuilding Co,1944-01-27,1944-03-11,1944-04-26,90.0,John M. Parker,Scrapped 1958
Julius Olsen,Cargo,2923,Todd Houston Shipbuilding Corp,1944-03-06,1944-04-14,1944-04-26,51.0,Julius Olsen,"Sold private 1947, wrecked and scrapped 1967"
Samconstant,Cargo,2621,Bethlehem-Fairfield Shipyards,1944-03-14,1944-04-14,1944-04-26,43.0,Samconstant,"Sold private 1947, burnt and abandoned 1967"
Peter Lassen,Cargo,2243,California Shipbuilding Corp,1944-03-11,1944-04-07,1944-04-28,48.0,Peter Lassen,"Sold private 1947, scrapped 1968"
Francis D Culkin,Cargo,2622,Bethlehem-Fairfield Shipyards,1944-03-16,1944-04-17,1944-04-28,43.0,Francis D. Culkin,"Sold private 1947, wrecked and abandoned 1955"
George Clement Perkins,Cargo,2272,Permanente Metals Co Yard,1944-04-01,1944-04-20,1944-04-28,27.0,George Clement Perkins,"Sold private 1947, scrapped 1969"
Richard K Call,Cargo,2473,St Johns River Shipbuilding Co,1944-02-21,1944-04-15,1944-04-28,67.0,Richard K. Call,Scrapped 1970
Samwake,Cargo,3017,New England Shipbuilding Corp,1944-03-08,1944-04-19,1944-04-28,51.0,Samwake,Torpedoed and lost in the English Channel 1944
George Eldridge,Cargo,3019,New England Shipbuilding Corp,1944-03-06,1944-04-18,1944-04-28,53.0,George Eldridge,Scrapped 1958
Major General Walter R Weaver,Cargo,2295,J A Jones Construction Co (Panama City),1944-02-11,1944-03-28,1944-04-29,78.0,Thomas LeValley,"To U.S. Army as transport USAT Major General Walter R. Weaver 1944, scrapped 1970"
William D Hoxie,Cargo,2443,Southeastern Shipbuilding Corp,1944-02-23,1944-04-14,1944-04-29,66.0,William D. Hoxie,Scrapped 1970
Felipi Debastrop,Cargo,2924,Todd Houston Shipbuilding Corp,1944-03-11,1944-04-19,1944-04-29,49.0,Felipi De Bastrop,Scrapped 1961
Samloyal,Cargo,2625,Bethlehem-Fairfield Shipyards,1944-03-22,1944-04-20,1944-04-29,38.0,Samloyal,"Sold private 1947, scrapped 1963"
Samleyte,Cargo,2355,J A Jones Construction Co (Brunswick),1944-03-07,1944-04-20,1944-04-29,53.0,Samleyte,Scrapped 1960
Nelson Aldrich,Cargo,3123,Walsh-Kaiser Co,1943-11-18,1944-04-02,1944-04-30,164.0,Nelson Aldrich,Scrapped 1968
Kochab,Cargo,2459,Delta Shipbuilding Co,1944-02-18,1944-03-30,1944-04-30,72.0,the star Kochab,"To U.S. Navy as Kochab (AKS-6), to NDRF 1946, scrapped 1965"
Samwinged,Cargo,2624,Bethlehem-Fairfield Shipyards,1944-03-22,1944-04-22,1944-04-30,39.0,Samwinged,Scrapped 1970
Silvestre Escalante,Cargo,2271,Permanente Metals Co Yard,1944-02-21,1944-03-31,1944-04-30,69.0,Silvestre Vélez de Escalante,Scrapped 1961
August Belmont,Cargo,2474,St Johns River Shipbuilding Co,1944-03-01,1944-04-20,1944-04-30,60.0,August Belmont,Scrapped 1970
Henry White,Cargo,2274,Permanente Metals Co Yard,1944-04-05,1944-04-23,1944-04-30,25.0,Henry White,"Sold private 1947, scrapped 1967"
Gilbert M Hitchcock,Cargo,2273,Permanente Metals Co Yard,1944-04-03,1944-04-22,1944-04-30,27.0,Gilbert M. Hitchcock,Scrapped 1967
Samoresby,Cargo,3018,New England Shipbuilding Corp,1944-03-08,1944-04-19,1944-04-30,53.0,Samoresby,Scrapped 1960
Samadang,Cargo,3020,New England Shipbuilding Corp,1944-03-13,1944-04-22,1944-04-30,48.0,Samadang,Scrapped 1968
Samglory,Cargo,2627,Bethlehem-Fairfield Shipyards,1944-03-27,1944-04-22,1944-04-30,34.0,Samglory,"Sold private 1947, scrapped 1969"
Josephine Shaw Lowell,Cargo,2296,J A Jones Construction Co (Panama City),1944-02-19,1944-04-04,1944-05-03,74.0,Josephine Shaw Lowell,"Sold private 1947, scrapped 1968"
Ingul,Cargo,2275,Permanente Metals Co Yard,1944-04-06,1944-04-25,1944-05-03,27.0,Emmet D. Boyle,"To Russia 1944 as Ingul, later Miklukho-Maklai, scrapped 1975"
Alexander Woolcott,Cargo,2276,Permanente Metals Co Yard,1944-04-08,1944-04-27,1944-05-04,26.0,Alexander Woollcott,Scrapped 1963
Martin Johnson,Cargo,2244,California Shipbuilding Corp,1944-03-17,1944-04-14,1944-05-04,48.0,Martin Johnson,"Sold private 1947, scrapped 1969"
Brigadeir General Asa N Duncan,Cargo,2925,Todd Houston Shipbuilding Corp,1944-03-15,1944-04-25,1944-05-05,51.0,Richard O'Brien,"To U.S. Army 1944 as aircraft repair unit Brigadier General Asa N. Duncan, scrapped 1972"
Samfleet,Cargo,2626,Bethlehem-Fairfield Shipyards,1944-03-25,1944-04-25,1944-05-06,42.0,Samfleet,"Sold private 1947, scrapped 1968"
E A Christenson,Cargo,2277,Permanente Metals Co Yard,1944-04-11,1944-04-28,1944-05-06,25.0,E. A. Christenson,"Sold private 1947, scrapped 1968"
Rodina,Cargo,2278,Permanente Metals Co Yard,1944-04-13,1944-04-30,1944-05-08,25.0,Henry J. Waters,"To Russia 1944 as Rodina, scrapped 1973"
Samfaithful,Cargo,2623,Bethlehem-Fairfield Shipyards,1944-03-21,1944-04-26,1944-05-09,49.0,Samfaithful,"Sold private 1947, scrapped 1969"
Samcebu,Cargo,2444,Southeastern Shipbuilding Corp,1944-03-04,1944-04-23,1944-05-10,67.0,Samcebu,"Wrecked 1963, declared a total loss, scrapped"
O B Martin,Cargo,2926,Todd Houston Shipbuilding Corp,1944-03-20,1944-04-28,1944-05-11,52.0,O. B. Martin,Scrapped 1973
Briansk,Cargo,2279,Permanente Metals Co Yard,1944-04-14,1944-05-03,1944-05-11,27.0,William E. Ritter,"To Russia 1944 as Briansk, scrapped 1975"
Richard V Oulahan,Cargo,2297,J A Jones Construction Co (Panama City),1944-02-26,1944-04-11,1944-05-11,75.0,Richard V. Oulahan,"Wrecked Okinawa 1945, scrapped"
Arthur R Lewis,Cargo,2475,St Johns River Shipbuilding Co,1944-03-13,1944-04-27,1944-05-12,60.0,Arthur R. Lewis,Scrapped 1965
Joe Harris,Cargo,2280,Permanente Metals Co Yard,1944-04-16,1944-05-05,1944-05-12,26.0,Joe Harris,Scrapped 1957
Mello Franco,Cargo,2281,Permanente Metals Co Yard,1944-04-18,1944-05-06,1944-05-13,25.0,Afranio de Mello Franco,"Sold private 1947, scrapped 1969"
Samaustral,Cargo,2356,J A Jones Construction Co (Brunswick),1944-03-16,1944-04-28,1944-05-13,58.0,Samaustral,"Sold private 1947, scrapped 1971"
Samsuva,Cargo,3021,New England Shipbuilding Corp,1944-03-21,1944-05-06,1944-05-13,53.0,Samsuva,Torpedoed and lost off North Cape 1944
Samingoy,Cargo,2357,J A Jones Construction Co (Brunswick),1944-03-24,1944-04-30,1944-05-13,50.0,Samingoy,"Sold private 1947, wrecked and scrapped 1967"
Henry D Lindsley,Cargo,2927,Todd Houston Shipbuilding Corp,1944-03-23,1944-05-03,1944-05-15,53.0,Henry D. Lindsley,Scrapped 1970
Hadley F Brown,Cargo,3023,New England Shipbuilding Corp,1944-03-18,1944-04-29,1944-05-15,58.0,Hadley F. Brown,"Mined off Ostend 1945, repaired, scrapped 1972"
Samcrest,Cargo,2630,Bethlehem-Fairfield Shipyards,1944-04-03,1944-05-05,1944-05-15,42.0,Samcrest,"Sold private 1947, scrapped 1965"
William Allen White,Cargo,2282,Permanente Metals Co Yard,1944-04-20,1944-05-08,1944-05-16,26.0,William Allen White,"Sold private 1947, scrapped 1969"
James H Kimball,Cargo,2298,J A Jones Construction Co (Panama City),1944-03-07,1944-04-22,1944-05-16,70.0,James H. Kimball,"Sold private 1947, sunk 1968"
W C Latta,Cargo,2462,Delta Shipbuilding Co,1944-02-28,1944-04-13,1944-05-17,79.0,W. C. Latta,Scrapped 1961
Samidway,Cargo,3022,New England Shipbuilding Corp,1944-03-21,1944-05-06,1944-05-17,57.0,Samidway,"Sold private 1947, scrapped 1969"
Minor C Keith,Cargo,2928,Todd Houston Shipbuilding Corp,1944-03-28,1944-05-08,1944-05-19,52.0,Minor C. Keith,"Sold private 1947, scrapped 1969"
James D Trask,Cargo,2631,Bethlehem-Fairfield Shipyards,1944-04-05,1944-05-08,1944-05-19,44.0,James D. Trask,"Sold private 1947, scrapped 1968"
James Kerney,Cargo,2628,Bethlehem-Fairfield Shipyards,1944-03-30,1944-04-29,1944-05-19,50.0,James Kerney,"Sold private 1947, scrapped 1973"
Andrew Stevenson,Cargo,2463,Delta Shipbuilding Co,1944-02-21,1944-04-05,1944-05-19,88.0,Andrew Stevenson,Scrapped 1972
Stephen Hopkins II,Cargo,2283,Permanente Metals Co Yard,1944-04-21,1944-05-10,1944-05-19,28.0,Stephen Hopkins,Scrapped 1967
Cecil G Sellers,Cargo,2284,Permanente Metals Co Yard,1944-04-22,1944-05-11,1944-05-19,27.0,Cecil G. Sellers,Burnt and scrapped 1948
John Chester Kendall,Cargo,3026,New England Shipbuilding Corp,1944-03-09,1944-05-09,1944-05-19,71.0,John Chester Kendall,Scrapped 1973
Mona Island,Cargo,2634,Bethlehem-Fairfield Shipyards,1944-04-10,1944-05-11,1944-05-20,40.0,Mona Island,"To U.S. Navy as ARG-9, wrecked on Okinawa 1945 but repaired, reefed off Wachapreague 1975"
Harry L Glucksman,Cargo,2445,Southeastern Shipbuilding Corp,1944-03-18,1944-04-29,1944-05-20,63.0,Harry L. Glucksman,"To U.S. Navy 1966, converted to Minesweeper Special MSS-1, classified as ""device"" with no other name, scrapped 1976."
Edwin A Stevens,Cargo,2465,Delta Shipbuilding Co,1944-03-07,1944-04-17,1944-05-21,75.0,Edwin A. Stevens,"Wrecked 1949, TL"
George E Merrick,Cargo,2476,St Johns River Shipbuilding Co,1944-03-20,1944-05-04,1944-05-21,62.0,George E. Merrick,"Sold private 1947, scrapped 1972"
Cornelius Ford,Cargo,3121,Walsh-Kaiser Co,1943-11-07,1944-02-19,1944-05-22,197.0,Cornelius Ford,Scrapped 1972
Stephen Furdek,Cargo,2299,J A Jones Construction Co (Panama City),1944-03-16,1944-04-28,1944-05-23,68.0,Stephen Furdek,Scrapped 1970
